epoch,time,model_name,train_loss,train_acc,test_acc
0, 2023-02-27 20:33:45, Lenet, 217.2930, 0.651, 0.771
1, 2023-02-27 20:34:03, Lenet, 136.3858, 0.778, 0.802
2, 2023-02-27 20:34:21, Lenet, 120.4362, 0.808, 0.830
3, 2023-02-27 20:34:39, Lenet, 110.1654, 0.828, 0.847
4, 2023-02-27 20:34:57, Lenet, 103.4388, 0.838, 0.854
5, 2023-02-27 20:35:16, Lenet, 97.0672, 0.850, 0.859
6, 2023-02-27 20:35:34, Lenet, 92.9539, 0.856, 0.869
7, 2023-02-27 20:35:52, Lenet, 86.8244, 0.865, 0.875
8, 2023-02-27 20:36:10, Lenet, 83.9379, 0.870, 0.877
9, 2023-02-27 20:36:28, Lenet, 80.7966, 0.875, 0.883
0, 2023-02-27 20:37:27, ResNetForMinist, 190.8925, 0.713, 0.820
1, 2023-02-27 20:37:42, ResNetForMinist, 111.7456, 0.829, 0.849
2, 2023-02-27 20:37:57, ResNetForMinist, 97.5510, 0.848, 0.855
3, 2023-02-27 20:38:12, ResNetForMinist, 91.6250, 0.858, 0.867
4, 2023-02-27 20:38:28, ResNetForMinist, 86.9903, 0.866, 0.869
5, 2023-02-27 20:38:43, ResNetForMinist, 84.9702, 0.867, 0.871
6, 2023-02-27 20:38:58, ResNetForMinist, 81.6473, 0.874, 0.879
7, 2023-02-27 20:39:13, ResNetForMinist, 78.5046, 0.876, 0.875
8, 2023-02-27 20:39:28, ResNetForMinist, 76.5482, 0.880, 0.878
9, 2023-02-27 20:39:43, ResNetForMinist, 75.7306, 0.880, 0.879
0, 2023-02-28 16:13:07, SE_LEnet, 219.4106, 0.652, 0.762
1, 2023-02-28 16:13:24, SE_LEnet, 138.9669, 0.777, 0.805
2, 2023-02-28 16:13:38, SE_LEnet, 123.3031, 0.802, 0.826
3, 2023-02-28 16:13:54, SE_LEnet, 113.7937, 0.820, 0.835
4, 2023-02-28 16:14:09, SE_LEnet, 105.0494, 0.834, 0.852
5, 2023-02-28 16:14:27, SE_LEnet, 98.1495, 0.846, 0.862
6, 2023-02-28 16:14:44, SE_LEnet, 93.0225, 0.855, 0.869
7, 2023-02-28 16:15:02, SE_LEnet, 88.5449, 0.862, 0.878
8, 2023-02-28 16:15:19, SE_LEnet, 85.5694, 0.867, 0.876
9, 2023-02-28 16:15:37, SE_LEnet, 83.0681, 0.872, 0.881
0, 2023-03-01 19:19:43, Vit_Transformer, 296.4414, 0.541, 0.757
1, 2023-03-01 19:20:02, Vit_Transformer, 151.1512, 0.770, 0.800
2, 2023-03-01 19:20:21, Vit_Transformer, 131.6576, 0.799, 0.808
3, 2023-03-01 19:20:40, Vit_Transformer, 122.3087, 0.811, 0.816
4, 2023-03-01 19:20:58, Vit_Transformer, 116.6938, 0.820, 0.826
5, 2023-03-01 19:21:16, Vit_Transformer, 113.1853, 0.825, 0.828
6, 2023-03-01 19:21:35, Vit_Transformer, 109.8340, 0.831, 0.838
7, 2023-03-01 19:21:53, Vit_Transformer, 106.8131, 0.833, 0.833
8, 2023-03-01 19:22:11, Vit_Transformer, 103.5121, 0.839, 0.837
9, 2023-03-01 19:22:29, Vit_Transformer, 102.7416, 0.840, 0.841
